time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-12-02T04:40:33.700Z,36.0116,-97.9311,5,2.5,ml,,32,,0.23,us,us1000bk7j,2018-02-20T09:06:11.040Z,"11km SSW of Hennessey, Oklahoma",earthquake,1.5,6,,,reviewed,tul,tul
2017-12-01T22:05:07.100Z,36.0121,-97.9287,4.7,3.1,ml,,28,,0.29,us,us1000bk4q,2018-02-20T09:06:11.040Z,"11km SSW of Hennessey, Oklahoma",earthquake,1,6.9,,,reviewed,tul,tul
2017-12-01T19:49:13.700Z,36.4627,-98.8075,5.865,2.8,ml,,45,,1.07,us,us1000bk1e,2018-02-20T09:06:11.040Z,"35km E of Mooreland, Oklahoma",earthquake,1.3,2.8,,,reviewed,tul,tul
2017-12-01T19:42:46.100Z,35.6679,-97.3912,6.544,2.7,ml,,23,,0.69,us,us1000bk16,2018-02-20T09:06:11.040Z,"8km ENE of Edmond, Oklahoma",earthquake,0.9,5.8,,,reviewed,tul,tul
2017-12-01T19:05:16.200Z,35.42,-97.0226,4.57,2.6,ml,,56,,0.76,us,us1000bk0f,2018-02-20T09:06:10.040Z,"6km ESE of McLoud, Oklahoma",earthquake,1,4.1,,,reviewed,tul,tul
2017-12-01T13:11:26.100Z,35.3829,-98.1104,7.675,2.5,ml,,41,,0.44,us,us1000bjv9,2018-02-20T09:06:10.040Z,"15km W of Union City, Oklahoma",earthquake,1.3,5.3,,,reviewed,tul,tul
2017-12-01T02:44:03.400Z,36.6396,-99.1881,3.401,3,ml,,174,,0.72,us,us1000bjp2,2018-02-20T09:06:09.040Z,"22km N of Mooreland, Oklahoma",earthquake,3.1,7,,,reviewed,tul,tul
2017-11-30T23:38:16.800Z,36.2325,-97.5459,7.56,2.5,ml,,46,,0.3,us,us1000bjn0,2018-02-20T09:06:09.040Z,"24km WSW of Perry, Oklahoma",earthquake,0.8,4.9,,,reviewed,tul,tul
2017-11-30T19:17:07.700Z,35.3773,-98.1084,6.75,2.6,ml,,42,,0.7,us,us1000bjim,2018-02-20T09:06:09.040Z,"15km W of Union City, Oklahoma",earthquake,1.6,4.5,,,reviewed,tul,tul
2017-11-29T20:23:59.300Z,35.3709,-98.1139,10.361,2.5,ml,,164,,0.52,us,us2000bw2y,2018-02-20T09:06:07.040Z,"15km W of Union City, Oklahoma",earthquake,3.1,8.4,,,reviewed,tul,tul
2017-11-29T19:40:53.200Z,35.8613,-96.6933,6.279,2.5,ml,,43,,0.15,us,us2000bw2t,2018-02-20T09:06:07.040Z,"12km NNW of Stroud, Oklahoma",earthquake,1.1,1.4,,,reviewed,tul,tul
2017-11-29T16:34:55.600Z,36.1026,-97.8327,6.663,2.9,ml,,21,,0.31,us,us2000bvwc,2018-02-20T09:06:07.040Z,"5km E of Hennessey, Oklahoma",earthquake,1,3.2,,,reviewed,tul,tul
2017-11-29T15:18:05.900Z,36.0153,-97.9258,6.352,2.8,ml,,18,,0.21,us,us2000bvvp,2018-02-20T09:06:07.040Z,"10km SSW of Hennessey, Oklahoma",earthquake,1.3,1.5,,,reviewed,tul,tul
2017-11-29T02:58:11.600Z,36.4582,-98.7727,7.241,2.5,ml,,37,,0.3,us,us2000bvrs,2018-02-20T09:06:06.040Z,"33km NW of Fairview, Oklahoma",earthquake,1.5,2.6,,,reviewed,tul,tul
2017-11-28T12:37:04.300Z,36.2913,-97.5106,6.061,2.7,ml,,25,,0.25,us,us2000bvcp,2018-02-20T09:06:05.040Z,"19km W of Perry, Oklahoma",earthquake,1,2.6,,,reviewed,tul,tul
2017-11-28T05:43:55.100Z,36.1231,-98.9635,3.104,2.5,ml,,133,,0.24,us,us2000bvac,2018-02-20T09:06:05.040Z,"9km N of Taloga, Oklahoma",earthquake,2.4,5.3,,,reviewed,tul,tul
2017-11-27T22:07:10.800Z,35.3879,-98.1074,7.558,2.5,ml,,150,,0.86,us,us2000bv5k,2018-02-20T09:06:05.040Z,"15km W of Union City, Oklahoma",earthquake,1.4,3.4,,,reviewed,tul,tul
2017-11-27T08:32:46.200Z,35.456,-97.7815,5.014,2.7,ml,,40,,0.22,us,us2000bust,2018-02-20T09:06:04.040Z,"5km SSW of Yukon, Oklahoma",earthquake,1.8,1.2,,,reviewed,tul,tul
2017-11-26T22:15:48.500Z,36.1062,-97.8261,2.973,2.7,ml,,21,,0.29,us,us2000bumr,2018-02-20T09:06:03.040Z,"6km E of Hennessey, Oklahoma",earthquake,1.2,5.2,,,reviewed,tul,tul
2017-11-26T21:11:51.000Z,36.1069,-97.8283,6.266,3.4,ml,,21,,0.56,us,us2000buln,2018-02-20T09:06:03.040Z,"6km E of Hennessey, Oklahoma",earthquake,1.6,5.9,,,reviewed,tul,tul
2017-11-26T19:27:28.100Z,35.8615,-96.6953,5.846,2.5,ml,,44,,0.16,us,us2000bukm,2018-02-20T09:06:03.040Z,"12km NNW of Stroud, Oklahoma",earthquake,1.6,1.5,,,reviewed,tul,tul
2017-11-26T02:39:35.400Z,36.408,-99.1598,5.976,2.8,ml,,171,,0.31,us,us2000buf1,2018-02-20T09:06:02.040Z,"5km SE of Mooreland, Oklahoma",earthquake,2.3,5.6,,,reviewed,tul,tul
2017-11-25T23:33:33.000Z,35.6162,-97.977,5.333,2.5,ml,,31,,0.34,us,us2000bue8,2018-02-14T02:01:15.040Z,"9km NNW of El Reno, Oklahoma",earthquake,1.5,6.6,,,reviewed,tul,tul
2017-11-25T21:42:01.100Z,35.6139,-97.9842,7.411,2.8,ml,,25,,0.33,us,us2000budb,2018-02-14T02:01:15.040Z,"9km NNW of El Reno, Oklahoma",earthquake,2,7.4,,,reviewed,tul,tul
2017-11-25T16:57:19.500Z,35.9896,-96.8055,5.523,2.7,ml,,48,,0.23,us,us2000bubt,2018-02-14T02:01:15.040Z,"3km W of Cushing, Oklahoma",earthquake,0.8,3,,,reviewed,tul,tul
2017-11-25T12:32:07.500Z,36.1251,-98.9905,6.167,2.7,ml,,187,,0.38,us,us2000buac,2018-02-14T02:01:15.040Z,"9km NNW of Taloga, Oklahoma",earthquake,1.3,2,,,reviewed,tul,tul
2017-11-25T11:40:06.700Z,36.1304,-98.9743,3.667,2.6,ml,,128,,0.24,us,us2000buaa,2018-02-14T02:01:15.040Z,"10km N of Taloga, Oklahoma",earthquake,1.5,3.8,,,reviewed,tul,tul
2017-11-25T01:58:10.600Z,35.8652,-96.679,6.011,2.8,ml,,52,,0.32,us,us2000bu7t,2018-02-14T02:01:14.040Z,"13km N of Stroud, Oklahoma",earthquake,1.7,4.1,,,reviewed,tul,tul
2017-11-23T18:40:47.100Z,35.3877,-98.1097,7.999,2.5,ml,,55,,0.61,us,us2000btlf,2018-02-14T02:01:12.040Z,"15km W of Union City, Oklahoma",earthquake,2,6.6,,,reviewed,tul,tul
2017-11-23T14:23:09.800Z,35.3875,-98.1193,7.339,2.6,ml,,69,,1.03,us,us2000btj8,2018-02-14T02:01:12.040Z,"16km W of Union City, Oklahoma",earthquake,1.5,5.2,,,reviewed,tul,tul
2017-11-23T11:03:22.700Z,36.342,-98.5403,7.57,2.7,ml,,33,,0.26,us,us2000btgr,2018-02-14T02:01:12.040Z,"9km NNW of Fairview, Oklahoma",earthquake,1.2,4.2,,,reviewed,tul,tul
2017-11-23T05:26:31.600Z,35.3534,-96.9469,4.261,2.5,ml,,58,,0.33,us,us2000btew,2018-02-14T02:01:11.040Z,"3km NW of Shawnee, Oklahoma",earthquake,1.2,3.8,,,reviewed,tul,tul
